FechaPublicacion,Etapa,FechaInicio,FechaFin,Caso,NombreCaso,TipoEnergetico,CodigoAreaOperativa,ConsumoCombustible,AnioEstudio,MesEstudio
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Liquidos,Are0056,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Carbon,Are0127,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Carbon,Are0012,141139.703125,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Otros,Are0056,628.0816040039062,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Liquidos,Are0056,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Otros,Are0056,628.0816040039062,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Otros,Are0002,81.5999984741211,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Otros,Are0128,1489.6845703125,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Liquidos,Are0128,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Otros,Are0010,4715.15673828125,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Carbon,Are0010,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Liquidos,Are0010,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Otros,Are0127,325.7985534667969,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Carbon,Are0012,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Gas,Are0002,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Liquidos,Are0002,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Otros,Are0002,81.5999984741211,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Gas,Are0127,42307.26171875,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Gas,Are0002,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Otros,Are0012,2218.7919921875,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Gas,Are0010,42307,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Gas,Are0012,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Liquidos,Are0128,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Carbon,Are0127,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Liquidos,Are0127,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Gas,Are0128,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Liquidos,Are0010,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Liquidos,Are0002,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Carbon,Are0056,38908.2578125,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Carbon,Are0056,389.08258056640625,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Otros,Are0010,5435.15673828125,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Liquidos,Are0010,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Liquidos,Are0002,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Carbon,Are0012,1959.8067626953125,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Liquidos,Are0128,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 5,Gas,Are0127,42307,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Liquidos,Are0127,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Otros,Are0127,325.7985534667969,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Promedio,Liquidos,Are0127,,2025,2
2025-02-15,60,2030-01-01,2030-01-31,Autonomo,Percentil 95,Gas,Are0012,,2025,2
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Gas,Are0128,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Gas,Are0010,41839.4296875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Carbon,Are0010,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Liquidos,Are0056,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Gas,Are0012,259.571044921875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Carbon,Are0012,1409.3204345703125,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Liquidos,Are0127,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Carbon,Are0056,385.13677978515625,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Liquidos,Are0010,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Otros,Are0128,1504.0743408203125,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Liquidos,Are0002,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Gas,Are0127,41579.85546875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Otros,Are0127,325.8019714355469,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Gas,Are0127,41579.85546875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Otros,Are0056,628.0746459960938,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Gas,Are0002,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Gas,Are0128,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Liquidos,Are0128,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Otros,Are0010,4499.16357421875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Liquidos,Are0002,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Otros,Are0010,4542.36328125,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Otros,Are0127,325.8019714355469,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Otros,Are0010,5219.16357421875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Carbon,Are0127,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Carbon,Are0010,2398.5771484375,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Gas,Are0010,67536.9609375,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Otros,Are0128,1460.874267578125,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Liquidos,Are0010,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Otros,Are0012,2002.8125,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Carbon,Are0127,604.1199951171875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Liquidos,Are0002,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Liquidos,Are0128,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Gas,Are0012,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Liquidos,Are0128,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Otros,Are0002,81.5999984741211,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Liquidos,Are0056,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Gas,Are0128,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Otros,Are0128,2180.874267578125,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Otros,Are0012,2002.8125,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Carbon,Are0012,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Gas,Are0010,41579.85546875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Carbon,Are0127,60412,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Gas,Are0002,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Otros,Are0127,325.8019714355469,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Otros,Are0056,628.0746459960938,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Gas,Are0127,41579.85546875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Otros,Are0012,2002.8125,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Carbon,Are0056,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Liquidos,Are0056,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Liquidos,Are0127,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Otros,Are0002,81.5999984741211,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Promedio,Liquidos,Are0127,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Otros,Are0002,81.5999984741211,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Gas,Are0002,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Carbon,Are0056,38513.6796875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Carbon,Are0012,140932.046875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Liquidos,Are0010,,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Carbon,Are0010,239857.71875,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 5,Otros,Are0056,628.0746459960938,2025,3
2025-03-15,60,2030-02-01,2030-02-28,Autonomo,Percentil 95,Gas,Are0012,25957.103515625,2025,3